2019-05-01 02:08:52.898 | INFO  | qtp1785343965-13 | nukr.profile-state | Adding  {:name 262626262, :connections #{}, :hidden nil}  to storage.
2019-05-01 02:08:57.842 | INFO  | qtp1785343965-13 | nukr.profile-state | Adding  {:name , :connections #{}, :hidden true}  to storage.
2019-05-01 02:11:55.466 | INFO  | qtp1785343965-16 | nukr.profile-state | Adding  {:name , :connections #{}, :hidden nil}  to storage.
2019-05-01 02:13:25.910 | INFO  | qtp1785343965-15 | nukr.profile-state | Adding  {:name , :connections #{}, :hidden nil}  to storage.
02:15:15.838 | INFO  | nukr.profile-state | Adding  {:name , :connections #{}, :hidden nil}  to storage.
02:15:21.334 | INFO  | nukr.profile-state | Adding  {:name , :connections #{}, :hidden nil}  to storage.
02:15:38.983 | INFO  | nukr.profile-state | Adding  {:name 123123, :connections #{}, :hidden nil}  to storage.
02:15:51.076 | INFO  | nukr.profile-state | Adding  {:name 31321, :connections #{}, :hidden nil}  to storage.
02:15:53.108 | INFO  | nukr.profile-state | Connecting  31321  and  nil
02:15:53.112 | INFO  | nukr.profile-state | Removing  31321  from storage.
02:15:53.112 | INFO  | nukr.profile-state | Removing  nil  from storage.
02:15:53.112 | INFO  | nukr.profile-state | Adding  {:name 31321, :connections #{nil}, :hidden nil}  to storage.
02:15:53.112 | INFO  | nukr.profile-state | Adding  {:connections (31321)}  to storage.
08:47:01.473 | INFO  | nukr.profile-state | Adding  {:name Cris, :connections #{}, :hidden nil}  to storage.
08:47:03.170 | INFO  | nukr.profile-state | Adding  {:name Ed, :connections #{}, :hidden nil}  to storage.
08:47:50.522 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden nil} to storage.
08:47:54.092 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden nil} to storage.
09:15:18.994 | INFO  | nukr.profile-state | Adding {:name Douglas, :connections #{}, :hidden nil} to storage.
09:15:40.345 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden nil} to storage.
09:15:43.529 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
09:16:14.013 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden on} to storage.
09:17:39.164 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
09:17:45.148 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden true} to storage.
09:19:33.669 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
09:19:33.669 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
09:19:33.669 | INFO  | nukr.profile-state | Adding {:name Cris, :connections #{}, :hidden false} to storage.
09:19:33.671 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
09:19:33.671 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
09:19:33.671 | INFO  | nukr.profile-state | Connecting Cris and Ed
09:19:33.671 | INFO  | nukr.profile-state | Removing Ed from storage.
09:19:33.672 | INFO  | nukr.profile-state | Adding {:name Ed, :connections #{}, :hidden false} to storage.
09:19:33.672 | INFO  | nukr.profile-state | Removing Cris from storage.
09:19:33.673 | INFO  | nukr.profile-state | Removing Cris from storage.
09:19:33.674 | INFO  | nukr.profile-state | Removing Ed from storage.
